Karnataka,Kasturba Medical College, Manipal
Bihar,Katihar Medical College, Katihar
Andhra Pradesh,Katuri Medical College, Guntur
Karnataka,Kempegowda Institute of Medical Sciences, Bangalore
Karnataka,Khaja Bandanawaz University - Faculty of Medical Sciences, Gulbarga
Tamil Nadu,Kilpauk Medical College, Chennai
Uttar Pradesh,King George Medical University, Lucknow
Maharashtra,KJ Somaiyya Medical College & Research Centre, Mumbai
Tamil Nadu,KMCH Institute of Health Sciences and Research, Coimbatore
Kerala,KMCT Medical College, Kozhikode, Calicut
Karnataka,Kodagu Institute of Medical Sciences, Kodagu
Andhra Pradesh,Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram
Karnataka,Koppal Institute of Medical Sciences, Koppal
West Bengal,KPC Medical College, Jadavpur, Kolkata
Maharashtra,Krishna Institute of Medical Sciences, Karad
Uttar Pradesh,Krishna Mohan Medical College & Hospital, Mathura
Andhra Pradesh,Kurnool Medical College, Kurnool
Madhya Pradesh,L.N. Medical College and Research Centre, Bhopal
Delhi,Lady Hardinge Medical College, New Delhi
Assam, Lakhimpur Medical College, Lakhimpur
Chattisgarh,Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College, Jagdalpur
Chattisgarh,Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College, Raigarh
Jharkhand, Laxmi Chandravansi Medical College & Hospital, Garhwa 
Uttar Pradesh,LLRM Medical College, Meerut
Madhya Pradesh,LNCT Medical College & Sewakunj Hospital, Indore
Maharashtra,Lokmanya Tilak Municipal Medical College, Sion, Mumbai
Bihar,Lord Buddha Koshi Medical College and Hospital, Saharsa
Kerala,M E S Medical College , Perintalmanna Malappuram Distt.Kerala
Madhya Pradesh,M G M Medical College, Indore
Jharkhand,M G M Medical College, Jamshedpur
Karnataka,M S Ramaiah Medical College, Bangalore
Tamil Nadu,Madha Medical College and Hospital, Thandalam, Chennai
Bihar,Madhubani Medical College, Madhubani
Tamil Nadu,Madras Medical College, Chennai
Tamil Nadu,Madurai Medical College, Madurai
Karnataka,Mahadevappa Rampure Medical College, Kalaburagi, Gulbarga
Uttar Pradesh,Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar
Haryana,Maharaja Agrasen Medical College, Agroha
Andhra Pradesh,Maharajah Institute of Medical Sciences, Vizianagaram
Uttar Pradesh,Maharani Laxmi Bai Medical College, Jhansi
Maharashtra,Maharashtra Institute of Medical Sciences & Research, Latur
Maharashtra,Maharashtra Institute of Medical Education & Research, TalegaonPune
Haryana,Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala
Himachal Pradesh,Maharishi Markandeshwar Medical College & Hospital, Solan
Uttar Pradesh,Maharshi Devraha Baba Autonomous State Medical College, Deoria
Maharashtra,Mahatma Gandhi Institute of Medical Sciences, Sevagram, Wardha
Pondicherry,Mahatma Gandhi Medical College & Research Institute, Pondicherry
Rajasthan,Mahatma Gandhi Medical College and Hospital, Sitapur, Jaipur
Maharashtra,Mahatma Gandhi Missions Medical College, Aurangabad
Maharashtra,Mahatma Gandhi Missions Medical College, Navi Mumbai
Madhya Pradesh,Mahaveer Institute of Medical Sciences & Research, Bhopal
Telangana,Mahavir Institute of Medical Sciences, Vikarabad, Telengana
Telangana,Maheshwara Medical College, Chitkul, Patancheru, Medak
Uttar Pradesh,Major S D Singh Medical College and Hospital, Fathehgarh, Farrukhabad
Kerala,Malabar Medical College, Kozhikode, Calicut
Kerala,Malankara Orthodox Syrian Church Medical College, Kolenchery
West Bengal,Malda Medical College & Hospital, Malda
Telangana,Malla Reddy Institute of Medical Sciences, Hyderabad
Telangana,Mallareddy Medical College for Women, Hyderabad
Telangana,Mamata Academy of Medical Sciences, Bachupally
Telangana,Mamata Medical College, Khammam
Karnataka,Mandya Institute of Medical Sciences, Mandya
Jharkhand,Manipal Tata Medical College, Baridih Jameshedpur
Bihar,Mata Gujri Memorial Medical College, Kishanganj
Delhi,Maulana Azad Medical College, New Delhi
Uttar Pradesh,Mayo Institute of Medical Sciences, Barabanki
Gujarat,Medical College, Baroda
Kerala,Medical College, Thiruvananthapuram
Telangana,Mediciti Institute Of Medical Sciences, Ghanpur
Tamil Nadu,Meenakshi Medical College and Research Institute, Enathur
Tamil Nadu, Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research, Kancheepuram 
West Bengal,Midnapore Medical College, Midnapore
Orissa,MKCG Medical College, Berhampur
Telangana,MNR Medical College & Hospital, Sangareddy
Uttar Pradesh,Moti Lal Nehru Medical College, Allahabad
Kerala,Mount Zion Medical College, Chayalode, Ezhamkulam Adoor, Pathanamthitta
Gujarat,MP Shah Medical College, Jamnagar
West Bengal,Murshidabad Medical College & Hospitals, Murshidabad
Uttar Pradesh,Muzaffarnagar Medical College, Muzaffarnagar
Karnataka,MVJ Medical College and Research Hospital, Bangalore
Karnataka,Mysore Medical College and Research Instt. (Prev.name Government Medical College), Mysore
Maharashtra,N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital, Nagpur
Haryana,N.C. Medical College & Hospital, Panipat
Bihar,Nalanda Medical College, Patna
Dadra and Nagar Haveli,NAMO Medical Education and Research Institute, Silvassa
Uttar Pradesh, Naraina Medical College & Research Centre, Kanpur
Bihar,Narayan Medical College & Hospital, Sasaram
Andhra Pradesh,Narayana Medical College, Nellore
Gujarat,Narendra Modi Medical College, Ahmedabad.
Uttar Pradesh,National Capital Region Institute of Medical Sciences, Meerut
Rajasthan,National Institute of Medical Science & Research, Jaipur
Karnataka,Navodaya Medical College, Raichur
Bihar,Netaji Subhas Medical College & Hospital, Amhara, Bihta, Patna
Madhya Pradesh,Netaji Subhash Chandra Bose Medical College, Jabalpur
West Bengal,Nilratan Sircar Medical College, Kolkata
Andhra Pradesh,Nimra Institute of Medical Sciences, Krishna Dist., A.P.
Uttar Pradesh, Noida International Institute Of Medical Sciences, Noida
Gujarat,Nootan Medical College and Research Centre, Mehsana
West Bengal,North Bengal Medical College, Darjeeling
Delhi,North Delhi Muncipal Corporation Medical College, Delhi
Meghalaya,North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences, Shillong
Andhra Pradesh,NRI Institute of Medical Sciences, Visakhapatnam
Andhra Pradesh,NRI Medical College, Guntur
Telangana,Osmania Medical College, Hyderabad
Andhra Pradesh,P E S Institute Of Medical Sciences and Research, Kuppam
Kerala,P K Das Institute of Medical Sciences, Palakkad, Kerala
Rajasthan,Pacific Institute of Medical Sciences, Umarda, Udaipur
Rajasthan,Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur
Maharashtra,Padmashree Dr. D.Y.Patil Medical College, Navi Mumbai
Jharkhand,Palamu Medical College, Palamu
Gujarat,Pandit Deendayal Upadhyay Medical College, Rajkot
Tamil Nadu,Panimalar Medical College Hospital & Research Institute, Chennai, Tamil Nadu
